Sl No,Level,Country,Number of Vote,Date of Votes,Title in English,Title in German,Title in French,Title in Italien,Number of Yes-Votes in National Council,Number of No-Votes in National Council,Number of Abstentions in National Council,Number of Yes-Votes in States Council,Number of No-Votes in States Council,Number of Abstentions in States Council,Recommendation of Government,Total Electorate,Citizen Abroad,Number Of Voters,Empty Ballot Sheets,Invalid Ballot Sheets,Yes Votes,No Votes,Number of States accepting,Number of States rejecting,Linked Vote Status,Linked Vote,Without Response,Tie-Break Question: Number of People Supporting,Tie-Break Question: Number of State Supporting,Tie-Break Question: Without Response,Institutions,Number of Signatures,Number of Cantons attained (Referendum),Committee name,Comments,Theme codes,Turnout,Valid Ballot Sheets,Yes [%],No [%],Result,Def. Result
1,Country,Switzerland,609,2017-02-12,Federal parliamentary decree of 30 September 2016 regarding the facilitated naturalization of people belonging to the third generation of immigrants,Bundesbeschluss vom 30.09.2016 über die erleichterte Einbürgerung von Personen der dritten Ausländergeneration,Arrêté fédéral du 30.09.2016 concernant la naturalisation facilitée des étrangers de la troisième génération,,122,75,0,25,19,0,Acceptance,5345436,Not known,2485134,12496,6566,1499615,982615,18,5,none,,,,,,Constitutional Referendum (Partialrevision),,,                            ,                            ,"State organisation | Legal system | Citizenship",46.49,2482230,60.41,39.59,yes,
2,Country,Switzerland,610,2017-02-12,Federal parliamentary decree of 30 September 2016 regarding the establishment of a fund for national roads and agglomeration traffic,Bundesbeschluss vom 30.09.2016 über die Schaffung eines Fonds für die Nationalstrassen und den Agglomerationsverkehr (NAF),Arrêté fédéral du 30.09.2016 sur la création d'un fonds pour les routes nationales et pour le trafic d'agglomération,,146,48,4,41,1,2,Acceptance,5345436,Not known,2473002,488922,7212,1503735,923787,23,0,none,,,,,,Constitutional Referendum (Partialrevision),,,,,"Transport and infrastructure | Road transport | Road construction",46.26,2427522,61.95,38.05,yes,no
3,Country,Switzerland,611,2017-02-12,Federal law of 17 June 2016 regarding fiscal measures to improve Switzerland's competitiveness as a business location (Reform of the corporation taxes III) ,Bundesgesetz vom 17.06.2016 über steuerliche Massnahmen zur Stärkung der Wettbewerbsfähigkeit des Unternehmensstandorts Schweiz (Unternehmenssteuerreformgesetz III),Loi fédérale du 17.06.2016 sur l'amélioration des conditions fiscales en vue de renforcer la compétitivité du site entrepreneurial suisse (Réforme de l'imposition des entreprises III),,139,55,2,29,10,4,Acceptance,5345436,Not known,2472368,57194,7792,989306,1427946,,,none,,,,,,Optional Legislative Referendum (Federal Decrees),,,                SP  Grüne  Gewerkschaften             ,                            ,"Public finance | Taxation | Tax system",46.25,2417252,40.93,59.07,no,
4,Country,Switzerland,605,2016-09-25,Citizens' initiative of 06 September 2012 "For a sustainable and resource efficient economy (green economy)" ,Volksinitiative vom 06.09.2012 "Für eine nachhaltige und ressourceneffiziente Wirtschaft (Grüne Wirtschaft)" ,Initiative populaire du 06.09.2012 «Pour économie durable et fondée sur une gestion efficiente des ressources (économie verte)» ,,62,128,2,13,31,0,Rejection,5329183,156727,2291470,34746,6681,819770,1430273,1,22,none,,,,,,Initiative (Formulated Draft),,,                Grüne Partei Schweiz             ,                            ,"Environment and living space | Environment | Environmental policy",43,2250043,36.43,63.57,no,
5,Country,Switzerland,606,2016-09-25,Citizens' initative of 17 December 2013 "AHVplus: for a strong AHV",Volksinitiative vom 17.12.2013 "AHVplus: für eine starke AHV",Initiative populaire du 17.12.2013 «AVSplus: pour une AVS forte»,,53,139,1,9,33,1,Rejection,5329183,156727,2298492,22647,6438,921375,1348032,5,18,none,,,,,,Initiative (Formulated Draft),,,Schweizerischer Gewerkschaftsbund ,,"Social Policy | Social security | Pension insurance",43.13,2269407,40.6,59.4,no,
6,Country,Switzerland,607,2016-09-25,Federal law of 25 September 2015 on intelligence agencies (Intelligence Agencies Act  NDG),Bundesgesetz vom 25.09.2015 über den Nachrichtendienst (Nachrichtendienstgesetz  NDG) ,Loi fédérale du 25.09.2015 sur le renseignement (LRens),,145,41,8,35,5,3,Acceptance,5329183,156727,2288549,54377,7039,1459068,768065,,,none,,,,,,Optional Legislative Referendum (Federal Decrees),,,überparteiliches Komitee (linke Kreise; SP  Grüne  AL u.a.) ,,"Security policy | State security | Fundamental rights",42.94,2227133,65.51,34.49,yes,no
7,Country,Switzerland,608,2016-09-25,Citizens' initiative of 16 November 2012 "For an orderly nuclear phase-out" ,Volksinitiative vom 16.11.2012 "Für den geordneten Ausstieg aus der Atomenergie (Atomausstiegsinitiative)" ,Initiative populaire du 16.11.2012 «Pour la sortie programmée de l'énergie nucléaire (Initiative «Sortir du nucléaire»)» ,,59,134,2,13,32,0,Rejection,5336515,Not known,2403389,11404,6752,1098464,1301520,5,18,none,,,,,,Initiative (Formulated Draft),,,                                                                Grüne Partei Schweiz                                                 ,                                                                                                                ,"Energy | Nuclear energy | Energy policy",45.04,2399984,45.77,54.23,no,
8,Country,Switzerland,600,2016-06-05,Citizens' initiative of 30 May 2013 "pro public service" ,Volksinitiative vom 30.05.2013 "Pro Service public" ,Initiative populaire du 30.05.2013 "En faveur du service public" ,,0,196,0,0,43,0,Rejection,5313442,154836,2485007,55409,7588,784303,1637707,0,23,none,,,,,,Initiative (Formulated Draft),,,                                K-Tipp  andere aus Konsumentenschützerkreisen                         ,                                                        ,"Transport and infrastructure | Post | Telecommunications",46.77,2422010,32.38,67.62,no,
9,Country,Switzerland,601,2016-06-05,Citizens' initiative of 04 October 2013 "For an unconditional basic income",Volksinitiative vom 04.10.2013 Für ein bedingungsloses Grundeinkommen",Initiative populaire du 04.10.2013 "Pour un revenu de base inconditionnel",,19,157,16,1,40,3,Rejection,5313422,154836,2494848,21596,7064,568660,1897528,0,23,none,,,,,,Initiative (Formulated Draft),,,überparteiliches Komitee (alternativ-linke Kreise) ,,"Social Policy | Social security | Welfare",46.95,2466188,23.06,76.94,no,
10,Country,Switzerland,602,2016-06-05,Citizens' initiative of 10 March 2014 "For a fair financing of transports",Volksinitiative vom 10.03.2014 "Für eine faire Verkehrsfinanzierung",Initiative populaire du 10.03.2014 "Pour un financement équitable des transports",,66,123,5,4,32,9,Rejection,5313442,154836,2485384,48284,7465,709974,1719661,0,23,none,,,,,,Initiative (Formulated Draft),,,Automobil- und Strassenverbände  überparteiliches Komitee (rechtsbürgerliche Kreise) ,,"Transport and infrastructure | Road transport | Indirect taxation",46.78,2429635,29.22,70.78,no,
11,Country,Switzerland,603,2016-06-05,Amendment of 12 December 2014 of federal law on reproductive medicine ,Änderung vom 12.12.2014 des Bundesgesetzes über die medizinisch unterstützte Fortpflanzung (Fortpflanzungsmedizingesetz  FMedG),Modification du 12.12.2014 de la loi sur la procréation médicalement assistée (LPMA),,123,66,5,26,10,9,Acceptance,5313442,154836,2480345,84284,8326,1490417,897318,,,none,,,,,,Optional Legislative Referendum (Federal Decrees),,,überparteiliches Komitee (alle Parteien) ,,"Social Policy | Health | Reproductive medicine",46.68,2387735,62.42,37.58,yes,no
12,Country,Switzerland,604,2016-06-05,Amendment of 25 September 2015 of the law on asylum ,Änderung vom 25.09.2015 des Asylgesetzes,Modification du 25.09.2015 de la loi sur l'asile ,,138,55,1,35,5,3,Acceptance,5313422,154836,2486032,57569,7780,1616597,804086,,,none,,,,,,Optional Legislative Referendum (Federal Decrees),,,SVP Schweiz ,,"Social Policy | Social groups | Refugees",46.79,2420683,66.78,33.22,yes,no
13,Country,Switzerland,596,2016-02-28,Citizens' initiative of 05 November 2012 "For marriage and family - against the marriage penalty",Volksinitiative vom 05.11.2012 "Für Ehe und Familie - gegen die Heiratsstrafe",Initiative populaire du 05.11.2012 "Pour le couple et la famille - non à la pénalisation du mariage",,85,107,1,20,25,0,Rejection,5302797,156534,3354019,69355,11288,1609152,1664224,16.5,6.5,none,,,,,,Initiative (Formulated Draft),,,                CVP Schweiz             ,                            ,"Social Policy | Family policy | Tax policy",63.25,3273376,49.16,50.84,no,
14,Country,Switzerland,597,2016-02-28,Citizens' initiative of 29 December 2012 "For the enforcement of the deportation of criminal foreigners",Volksinitiative vom 28.12.2012 «Zur Durchsetzung der Ausschaffung krimineller Ausländer (Durchsetzungsinitiative)» ,Initiative populaire du 28.12.2012 «Pour le renvoi effectif des étrangers criminels (initiative de mise en oeuvre)» ,,57,140,0,6,38,0,Rejection,5302797,156534,3379567,27059,10445,1375098,1966965,4.5,18.5,none,,,,,,Initiative (Formulated Draft),,,                SVP Schweiz             ,                            ,"Legal system | Criminal law | Fundamental rights",63.73,3342063,41.15,58.85,no,
15,Country,Switzerland,598,2016-02-28,Citizens' initiative of 24 March 2014 "No food speculation!",Volksinitiative vom 24.03.2014 «Keine Spekulation mit Nahrungsmitteln!»,Initiative populaire du  24.03.2014 «Pas de spéculation sur les denrées alimentaires»,,58,130,5,11,31,1,Rejection,5302797,156534,3336178,110392,12063,1287786,1925937,1.5,21.5,none,,,,,,Initiative (Formulated Draft),,,                Juso Schweiz             ,                                                        ,"Economic policy | Banks, stock exchange, insurance | Agriculture",62.91,3213723,40.07,59.93,no,
16,Country,Switzerland,599,2016-02-28,Amendment of 26 September 2014 of Federal law on road transit traffic in the alpine region (STVG) (Renovation of the Gotthard road tunnel) ,Änderung vom 26.09.2014 des Bundesgesetzes über den Strassentransitverkehr im Alpengebiet (STVG) (Sanierung Gotthard-Strassentunnel),Modification du 26.09.2014 de la loi fédérale sur le transit routier dans la région alpine (LTRA) (Réfection du tunnel routier du Gothard) ,,120,76,2,28,17,0,Acceptance,5302797,156534,3365568,50587,10732,1883859,1420390,,,none,,,,,,Optional Legislative Referendum (Federal Decrees),,,überparteiliches Komitee (Grüne Partei Schweiz  SP Schweiz  Umweltverbände) ,                                                                                    ,"Transport and infrastructure | Road transport | Road construction",63.47,3304249,57.01,42.99,yes,
17,Country,Switzerland,593,2015-06-14,Citizens' initiative of 20 January 2012 «scholarship-initiative»,Volksinitiative vom 20.01.2012 «Stipendieninitiative»,Initiative populaire du 20.01.2012 «Initiative sur les bourses d'études»,,58,135,1,12,32,1,Rejection,5265120,144691,2287555,58661,6699,610284,1611911,0,23,none,,,,,,Initiative (Formulated Draft),,,                                Verband der Schweizer Studierendenschaften (VSS)                                    ,                                Das Parlament hat einen indirekten Gegenvorschlag beschlossen  mit der die Vereinheitlichung des Stipendienwesens beschleunigt werden soll.                                    ,"Education and research | Universities | Division of tasks",43.45,2222195,27.46,72.54,no,
18,Country,Switzerland,594,2015-06-14,Citizens' initiative of 15 February 2013 «to impose inheritance of millions for our Old-Age and survivors' insurance AHV (Reform of inheritance tax)»,Volksinitiative vom 15.02.2013 «Millionen-Erbschaften besteuern für unsere AHV (Erbschaftssteuerreform)»,Initiative populaire du 15.02.2013 «Imposer les successions de plusieurs millions pour financer notre AVS (Réform de la fiscalité successorale)»,,60,135,1,9,34,2,Rejection,5254965,Not known,2271612,Not known,Not known,658218,1613394,0,23,none,,,,,,Initiative (Formulated Draft),,,                SP  Grüne  EVP und Schweizerische Gewerkschaftsbund             ,                            ,"Public finance | Indirect taxation | Federalism",43.23,2271612,28.98,71.02,no,
19,Country,Switzerland,595,2015-06-14,Amendment of 26 September 2014 of Federal law on Radio and Television (RTVG),Änderung vom 26.09.2014 des Bundesgesetzes über Radio und Fernsehen (RTVG),Modification du 26.09.2014 de la loi fédérale sur la radio et la télévision (LRTV),,109,85,4,28,14,3,Acceptance,5265120,144691,2297963,38136,6432,1128522,1124873,,,none,,,,,,Optional Legislative Referendum (Federal Decrees),,,                                Gewerbeverband                         ,                                                        ,"Media and communication | Radio, television and electronic media | Indirect taxation",43.65,2253395,50.08,49.92,yes,
20,Country,Switzerland,592,2015-06-14,Federal parliamentary decree of 12 December 2014 on the amendment of constitutional provision regarding reproductive medicine and gene technology involving human beings,Budesbeschluss vom 12. Dezember 2014 über die Änderung der Verfassungsbestimmung zur Fortpflanzungsmedizin und Gentechnologie im Humanbereich,Arrête fédéral du 12 Decembre 2014 concernant la modification de l'article constitutionnel relatif à la procréation médicalement assistée et au génie génetique dans le domaine humain.,,160,31,4,34,8,3,Acceptance,5265120,144691,2290993,59651,6864,1377613,846865,18.5,4.5,none,,,,,,Constitutional Referendum (Partialrevision),,,                                                                                                                                            ,                                                                                                                                            ,"Health | Medical research and technology | Genetic engineering",43.51,2224478,61.93,38.07,yes,
21,Country,Switzerland,590,2015-03-08,Citizens' initiative of 5 November 2012 «Strength families! For tax free children and education supplements»,Volksinitiative vom 5. November 2012 «Familien stärken! Steuerfreie Kinder- und Ausbildungszulagen»,Initiative populaire du 5 Novembre 2012 «Aider les familles! Pour des allocations pour enfant et des allocation de formation professionnelle exonérées de l'impot»,,35,159,4,13,32,0,Rejection,5254965,143312,2210891,16702,6285,537795,1650109,0,23,none,,,,,,Initiative (Formulated Draft),,,                                CVP                         ,                                                        ,"Direct taxation | Family policy | Welfare",42.07,2187904,24.58,75.42,no,
22,Country,Switzerland,591,2015-03-08,Citizens' initiative of 17 December 2012 «To replace of value added taxes by taxes on energy»,Volksinitiative vom 12 Dezember 2012 «Energie- statt Mehrwertsteuer»,Initiative populaire du 17 Décembre «Remplacer la taxe sur la valeur ajoutée par une taxe sur l'energie»,,27,171,0,3,40,2,Rejection,5254965,143312,2210121,18169,6221,175405,2010326,0,23,none,,,,,,Initiative (Formulated Draft),,,                GLP             ,                            ,"Taxation | Indirect taxation | Energy policy",42.06,2185731,8.03,91.97,no,
23,Country,Switzerland,587,2014-11-30,Citizens' initiative of 19.10.2012 «to end tax breaks for wealthy foreigners» (Abolition of lump sum taxation),Volksinitiative vom 19.10.2012 «Schluss mit den Steuerprivilegien für Millionäre (Abschaffung der Pauschaulbesteuerung),Initiative populaire du 19.10.2012 «Halte aux privilèges fiscaux des millionnaires (abolition des forfaits fiscaux»,,62,135,1,13,30,2,Rejection,5247489,142651,2618768,29634,7895,1053125,1528114,1,22,none,,,,,,Initiative (Formulated Draft),,,Alternative Liste  www.pauschalsteuer-abschaffen.ch            ,                            ,"Public finance | Tax policy | Financial system",49.91,2581239,40.8,59.2,no,
24,Country,Switzerland,588,2014-11-30,Citizens' initiative of 02.11.2012 «Halt overpopulation - Preserve the natural environment» (Ecopop),Volksinitiative vom 02.11.2012 «Stopp der Überbevölkerung - zur Sicherung der natürlichen Lebensgrundlagen» (Ecopop),Initiative populaire du 02.11.2012 «Halte à la surpopulation - Oui à la préservation durable des ressources naturelles» (Ecopop),,3,190,5,1,44,0,Rejection,5247489,142651,2622700,23261,7886,671099,1920454,0,23,none,,,,,,Initiative (Formulated Draft),,,                Verein Ecopop  www.ecopop-ja.ch            ,                            ,"Environment and living space | Immigration policy | Development cooperation",49.98,2591553,25.9,74.1,no,
