code,EN,FR,DE,IT,PT,AR,RU,ES,JA,ZH
main.title2,What are the most common themes in Switzerland's federal ballots?,,,,Quais os temas mais comuns nas votações federais da Suíça?,,,,,
descr2,Top 50 keyword themes assigned to all federal ballots in Switzerland since 1848. Word size is scaled according to frequency. Hover over a term to see its count.,,,,Os 50 temas mais importantes presentes em todas as votações nacionais na Suíça desde 1848. O tamanho das letras corresponde à frequência com que o tema aparece ao longo da história. Passe o cursor sobre cada termo para ver sua contagem.,,,,,
source,Source,source,Quelle,Fonte,Fonte,المصدر,Источник,Fuente,出典,来源
source.name,Centre for Research on Direct Democracy (c2d),,,,Centre for Research on Direct Democracy ,,,,,
code,Code,code,Code,Codice,código,الرمز,Код,código,コード,代码
code.name2,d3wordcloud,d3wordcloud,d3wordcloud,d3wordcloud,d3wordcloud,d3wordcloud,d3wordcloud,d3wordcloud,d3wordcloud,d3wordcloud
Criminal_law.key,Criminal law,Loi criminelle,Strafrecht,diritto penale,Direito Penal,قانون جنائي,Уголовное право,Derecho penal,刑法,刑法
Structural_policy.key,Structural policy,La politique structurelle,Die Strukturpolitik,La politica strutturale,Política estrutural,السياسة الهيكلية,Структурная политика,La política estructural,構造政策,结构性政策
Parliament.key,Parliament,Parlement,Parlament,Parlamento,Parlamento,برلمان,парламент,Parlamento,議会,议会
Health_and_accident_insurance.key,Health and accident insurance,Assurance maladie et accidents,Kranken- und Unfallversicherung,assicurazione sanitaria e infortuni,Seguro de saúde e de acidentes,الصحة والتأمين ضد الحوادث,Здоровье и страхование от несчастных случаев,seguro de salud y accidente,健康と傷害保険,健康和意外保险
Financial_system.key,Financial system,Système financier,Finanzsystem,Sistema finanziario,Sistema financeiro,نظام مالي,Финансовая система,Sistema financiero,金融システム,金融系统
Tax_policy.key,Tax policy,Politique fiscale,Steuerpolitik,La politica fiscale,A política fiscal,السياسة الضريبية,налоговая политика,La política tributaria,租税政策,税收政策
Addictive_substances.key,Addictive substances,substances addictives,Suchtmittel,sostanze che danno dipendenza,Substâncias que causam dependência,المواد المسببة للإدمان,привыкание вещества,Las sustancias adictivas,中毒性の物質,成瘾物质
Tax_system.key,Tax system,Régime fiscal,Steuersystem,sistema fiscale,Sistema Tributário,النظام الضريبي,налоговая система,Sistema de impuestos,税制,税制
Direct_taxation.key,Direct taxation,fiscalité directe,direkte Steuern,fiscalità diretta,Impostos diretos,الضرائب المباشرة,прямое налогообложение,los impuestos directos,直接課税,直接税
Road_transport.key,Road transport,Transport routier,Straßentransport,Trasporto stradale,Transporte rodoviário,النقل على الطرق,Дорожный транспорт,Transporte por carretera,道路輸送,公路运输
Monetary_policy.key,Monetary policy,Politique monétaire,Geldpolitik,Politica monetaria,Política monetária,السياسة النقدية,денежно-кредитная политика,La política monetaria,金融政策,货币政策
Division_of_tasks.key,Division of tasks,Répartition des tâches,Aufgabenteilung,Divisione dei compiti,Divisão de tarefas,تقسيم المهام,Разделение задач,División de tareas,タスクの課,任务分工
Protection_of_nature_and_cultural_heritage.key,Protection of nature and cultural heritage,Protection de la nature et du patrimoine culturel,Schutz der Natur und Kulturerbe,Protezione della natura e del patrimonio culturale,Proteção da natureza e do patrimônio cultural,حماية الطبيعة والتراث الثقافي,Защита природы и культурного наследия,Protección de la naturaleza y el patrimonio cultural,自然と文化遺産の保護,自然和文化遗产保护
Road_construction.key,Road construction,Construction de route,Straßenbauarbeiten,Costruzione della strada,Obras viárias,بناء الطرق,Строительство дороги,Construcción vial,道路工事,道路建设
Agricultural_policy.key,Agricultural policy,politique agricole,Agrarpolitik,La politica agricola,Política agrícola,السياسة الزراعية,Сельскохозяйственная политика,Política agrícola,農業政策,农业政策
Armed_forces___general.key,Armed forces - general,forces armées - général,Streitkräfte - allgemein,Forze armate - generali,Forças Armadas - Geral,القوات المسلحة - العامة,Вооруженные силы - общие,Fuerzas Armadas - generales,武装勢力 - 一般,武装部队 - 一般
Health_policy.key,Health policy,Politique de santé,Gesundheitspolitik,Politica sanitaria,Política de saúde,سياسة الصحة,Политика здравоохранения,La política de salud,健康政策,卫生政策
Tenancy_issues.key,Tenancy issues,problèmes de fermage,Tenancy Fragen,le questioni di locazione,Questões de aluguel,قضايا الإيجار,вопросы Tenancy,cuestiones de tenencia,テナントの問題,租赁问题
Livestock.key,Livestock,Bétail,Vieh,Bestiame,Gado,ماشية,Домашний скот,Ganado,家畜,家畜
